iter	Passed	Remaining
266	1480	4063
267	1484	4055
268	1489	4048
269	1495	4042
270	1500	4035
271	1505	4029
272	1510	4021
273	1515	4016
274	1521	4010
275	1526	4003
276	1531	3996
277	1536	3990
278	1542	3985
279	1547	3979
280	1553	3973
281	1557	3966
282	1563	3961
283	1568	3955
284	1573	3948
285	1579	3942
286	1584	3936
287	1590	3931
288	1595	3926
289	1601	3919
290	1606	3913
291	1611	3907
292	1618	3904
293	1623	3899
294	1629	3895
295	1635	3888
296	1640	3882
297	1645	3876
298	1651	3871
299	1656	3865
300	1661	3859
301	1666	3852
302	1671	3845
303	1676	3839
304	1681	3832
305	1686	3825
306	1691	3818
307	1696	3812
308	1701	3805
309	1706	3798
310	1712	3793
311	1717	3786
312	1722	3779
313	1726	3772
314	1731	3766
315	1736	3759
316	1741	3752
317	1746	3745
318	1752	3740
319	1757	3733
320	1761	3726
321	1766	3718
322	1771	3712
323	1775	3705
324	1780	3697
325	1785	3690
326	1789	3683
327	1794	3676
328	1799	3670
329	1805	3664
330	1809	3658
331	1814	3651
332	1819	3645
333	1825	3639
334	1829	3632
335	1834	3625
336	1839	3619
337	1844	3612
338	1849	3605
339	1854	3599
340	1859	3593
341	1864	3586
342	1868	3579
343	1873	3572
344	1879	3568
345	1884	3561
346	1888	3554
347	1894	3548
348	1899	3542
349	1903	3535
350	1908	3528
351	1913	3521
352	1917	3515
353	1922	3508
354	1927	3502
355	1932	3496
356	1937	3490
357	1942	3483
358	1947	3477
359	1952	3470
360	1956	3463
361	1961	3457
362	1966	3451
363	1971	3445
364	1976	3438
365	1981	3432
366	1986	3426
367	1991	3419
368	1996	3413
369	2002	3408
370	2006	3402
371	2011	3396
372	2016	3389
373	2021	3383
374	2026	3376
375	2030	3370
376	2035	3363
377	2040	3357
378	2045	3351
379	2050	3345
380	2055	3339
381	2060	3333
382	2065	3327
383	2070	3321
384	2075	3316
385	2080	3309
386	2085	3303
387	2090	3296
388	2095	3290
389	2099	3283
390	2104	3277
391	2109	3272
392	2115	3266
393	2120	3260
394	2124	3254
395	2129	3248
396	2134	3241
397	2138	3234
398	2143	3229
399	2148	3223
400	2154	3217
401	2159	3211
402	2164	3206
403	2169	3200
404	2174	3194
405	2179	3188
406	2184	3182
407	2189	3176
408	2193	3169
409	2198	3164
410	2204	3158
411	2208	3152
412	2213	3146
413	2218	3140
414	2223	3134
415	2228	3128
416	2232	3121
417	2237	3115
418	2242	3109
419	2247	3103
420	2252	3098
421	2257	3092
422	2262	3086
423	2266	3079
424	2272	3074
425	2276	3068
426	2281	3062
427	2286	3056
428	2291	3050
429	2296	3043
430	2300	3037
431	2306	3032
432	2310	3025
433	2315	3019
434	2320	3013
435	2325	3008
436	2330	3002
437	2334	2996
438	2340	2990
439	2345	2984
440	2350	2978
441	2355	2973
442	2360	2968
443	2365	2962
444	2370	2956
445	2374	2950
446	2380	2944
447	2385	2939
448	2390	2933
449	2395	2927
450	2400	2922
451	2405	2916
452	2410	2910
453	2415	2904
454	2420	2899
455	2425	2893
456	2430	2887
457	2435	2881
458	2440	2876
459	2445	2870
460	2449	2864
461	2454	2858
462	2459	2852
463	2464	2846
464	2469	2841
465	2475	2836
466	2479	2830
467	2484	2824
468	2489	2818
469	2494	2813
470	2499	2807
471	2503	2800
472	2509	2795
473	2514	2790
474	2519	2784
475	2524	2778
476	2529	2773
477	2534	2768
478	2539	2762
479	2544	2756
480	2549	2751
481	2554	2745
482	2559	2739
483	2564	2733
484	2569	2728
485	2574	2722
486	2579	2717
487	2584	2711
488	2589	2706
489	2594	2700
490	2599	2694
491	2604	2688
492	2609	2683
493	2613	2677
494	2618	2671
495	2623	2666
496	2628	2660
497	2633	2654
498	2638	2648
499	2643	2643
500	2649	2638
501	2654	2632
502	2658	2627
503	2664	2622
504	2669	2616
505	2674	2611
506	2679	2605
507	2684	2600
508	2689	2594
509	2694	2588
510	2699	2583
511	2704	2577
512	2709	2571
513	2713	2565
514	2718	2560
515	2723	2554
516	2727	2548
517	2732	2542
518	2737	2537
519	2742	2531
520	2747	2525
521	2752	2520
522	2756	2514
523	2761	2508
524	2766	2503
525	2771	2497
526	2776	2492
527	2781	2486
528	2786	2480
529	2790	2474
530	2795	2469
531	2800	2463
532	2805	2457
533	2809	2452
534	2814	2446
535	2819	2440
536	2823	2434
537	2828	2428
538	2833	2423
539	2838	2417
540	2842	2411
541	2847	2405
542	2851	2400
543	2856	2394
544	2861	2389
545	2867	2384
546	2873	2379
547	2877	2373
548	2882	2368
549	2888	2362
550	2892	2357
551	2897	2351
552	2901	2345
553	2906	2340
554	2911	2334
555	2916	2329
556	2921	2323
557	2926	2317
558	2930	2311
559	2935	2306
560	2939	2300
561	2944	2295
562	2949	2289
563	2954	2284
564	2959	2278
565	2963	2272
566	2969	2267
567	2974	2262
568	2978	2256
569	2983	2251
570	2989	2246
571	2994	2240
572	2998	2234
573	3004	2229
574	3009	2224
575	3013	2218
576	3018	2213
577	3023	2207
578	3027	2201
579	3032	2195
580	3037	2190
581	3041	2184
582	3045	2178
583	3051	2173
584	3055	2167
585	3060	2161
586	3065	2156
587	3069	2150
588	3074	2145
589	3079	2139
590	3084	2134
591	3088	2128
592	3093	2123
593	3098	2118
594	3103	2112
595	3108	2106
596	3113	2101
597	3117	2096
598	3122	2090
599	3127	2084
600	3132	2079
601	3136	2073
602	3142	2068
603	3147	2063
604	3151	2057
605	3156	2052
606	3161	2046
607	3165	2041
608	3170	2035
609	3175	2030
610	3181	2025
611	3185	2019
612	3190	2014
613	3194	2008
614	3199	2002
615	3204	1997
616	3209	1992
617	3214	1986
618	3218	1981
619	3223	1975
620	3228	1970
621	3233	1964
622	3237	1959
623	3242	1953
624	3247	1948
625	3252	1943
626	3257	1937
627	3262	1932
628	3267	1926
629	3271	1921
630	3276	1915
631	3280	1910
632	3285	1904
633	3289	1899
634	3294	1893
635	3299	1888
636	3304	1882
637	3309	1877
638	3313	1872
639	3318	1866
640	3323	1861
641	3328	1856
642	3333	1850
643	3337	1844
644	3342	1839
645	3347	1834
646	3351	1828
647	3356	1823
648	3361	1818
649	3366	1812
650	3371	1807
651	3376	1802
652	3381	1796
653	3385	1791
654	3391	1786
655	3396	1780
656	3400	1775
657	3405	1770
658	3410	1764
659	3415	1759
660	3419	1753
661	3424	1748
662	3428	1742
663	3433	1737
664	3438	1732
665	3442	1726
666	3447	1721
667	3452	1715
668	3457	1710
669	3461	1705
670	3466	1699
671	3471	1694
672	3475	1688
673	3480	1683
674	3490	1680
675	3498	1676
676	3507	1673
677	3514	1669
678	3519	1664
679	3527	1660
680	3535	1656
681	3541	1651
682	3546	1645
683	3551	1640
684	3556	1635
685	3560	1629
686	3565	1624
687	3570	1619
688	3575	1613
689	3580	1608
690	3585	1603
691	3591	1598
692	3595	1592
693	3601	1587
694	3606	1582
695	3610	1576
696	3614	1571
697	3620	1566
698	3624	1560
699	3629	1555
700	3635	1550
701	3640	1545
702	3645	1539
703	3649	1534
704	3655	1529
705	3660	1524
706	3665	1518
707	3670	1513
708	3675	1508
709	3681	1503
710	3685	1498
711	3691	1493
712	3696	1487
713	3701	1482
714	3706	1477
715	3711	1472
716	3716	1466
717	3721	1461
718	3728	1457
719	3734	1452
720	3740	1447
721	3746	1442
722	3753	1437
723	3759	1433
724	3764	1428
725	3771	1423
726	3777	1418
727	3783	1413
728	3788	1408
729	3793	1403
730	3800	1398
731	3805	1393
732	3811	1388
733	3816	1383
734	3821	1377
735	3826	1372
736	3831	1367
737	3837	1362
738	3842	1357
739	3847	1351
740	3852	1346
741	3857	1341
742	3862	1335
743	3867	1330
744	3872	1325
745	3877	1320
746	3882	1314
747	3887	1309
748	3892	1304
749	3896	1298
750	3901	1293
751	3906	1288
752	3911	1283
753	3917	1277
754	3922	1272
755	3929	1268
756	3934	1262
757	3938	1257
758	3945	1252
759	3950	1247
760	3956	1242
761	3961	1237
762	3966	1232
763	3971	1226
764	3976	1221
765	3981	1216
766	3986	1211
767	3992	1205
768	3997	1200
769	4002	1195
770	4007	1190
771	4012	1185
772	4017	1179
773	4023	1174
774	4028	1169
775	4033	1164
776	4038	1159
777	4044	1153
778	4048	1148
779	4054	1143
780	4059	1138
781	4065	1133
782	4070	1128
783	4075	1122
784	4079	1117
785	4084	1112
786	4089	1106
787	4093	1101
788	4098	1096
789	4103	1090
790	4107	1085
791	4112	1080
792	4117	1074
793	4122	1069
794	4127	1064
795	4132	1058
796	4136	1053
797	4141	1048
798	4145	1042
799	4150	1037
800	4155	1032
801	4160	1027
802	4165	1021
803	4169	1016
804	4174	1011
805	4179	1005
806	4184	1000
807	4188	995
808	4193	990
809	4198	984
810	4202	979
811	4207	974
812	4211	968
813	4216	963
814	4221	958
815	4225	952
816	4230	947
817	4234	942
818	4239	936
819	4243	931
820	4248	926
821	4253	921
822	4258	915
823	4262	910
824	4267	905
825	4271	899
826	4276	894
827	4281	889
828	4285	884
829	4290	878
830	4295	873
831	4300	868
832	4304	862
833	4309	857
834	4313	852
835	4318	847
836	4323	841
837	4327	836
838	4332	831
839	4337	826
840	4341	820
841	4346	815
842	4351	810
843	4356	805
844	4360	799
845	4365	794
846	4369	789
847	4374	784
848	4378	778
849	4383	773
850	4387	768
851	4392	763
852	4396	757
853	4401	752
854	4406	747
855	4411	742
856	4416	736
857	4421	731
858	4426	726
859	4431	721
860	4436	716
861	4440	710
862	4446	705
863	4451	700
864	4457	695
865	4462	690
866	4467	685
867	4472	680
868	4476	674
869	4481	669
870	4486	664
871	4490	659
872	4495	653
873	4500	648
874	4504	643
875	4510	638
876	4514	633
877	4519	628
878	4524	622
879	4530	617
880	4535	612
881	4541	607
882	4546	602
883	4551	597
884	4557	592
885	4561	586
886	4566	581
887	4571	576
888	4575	571
889	4581	566
890	4585	560
891	4590	555
892	4595	550
893	4600	545
894	4604	540
895	4609	535
896	4615	530
897	4620	524
898	4625	519
899	4630	514
900	4635	509
901	4640	504
902	4644	498
903	4649	493
904	4653	488
905	4658	483
906	4663	478
907	4668	472
908	4673	467
909	4678	462
910	4683	457
911	4688	452
912	4692	447
913	4697	442
914	4702	436
915	4706	431
916	4711	426
917	4716	421
918	4721	416
919	4726	410
920	4731	405
921	4736	400
922	4740	395
923	4745	390
924	4749	385
925	4754	379
926	4759	374
927	4764	369
928	4768	364
929	4773	359
930	4778	354
931	4783	348
932	4787	343
933	4792	338
934	4796	333
935	4801	328
936	4806	323
937	4813	318
938	4818	313
939	4823	307
940	4828	302
941	4834	297
942	4840	292
943	4845	287
944	4850	282
945	4855	277
946	4861	272
947	4866	266
948	4871	261
949	4876	256
950	4881	251
951	4887	246
952	4892	241
953	4897	236
954	4902	231
955	4907	225
956	4912	220
957	4918	215
958	4923	210
959	4928	205
960	4933	200
961	4937	195
962	4942	189
963	4947	184
964	4951	179
965	4956	174
966	4961	169
967	4965	164
968	4970	159
969	4975	153
970	4980	148
971	4986	143
972	4990	138
973	4996	133
974	5001	128
975	5005	123
976	5010	117
977	5015	112
978	5020	107
979	5024	102
980	5029	97
981	5034	92
982	5038	87
983	5043	82
984	5048	76
985	5052	71
986	5058	66
987	5063	61
988	5068	56
989	5072	51
990	5077	46
991	5083	40
992	5087	35
993	5092	30
994	5097	25
995	5102	20
996	5107	15
997	5111	10
998	5116	5
999	5121	0
